Input,Output,ObservedProb,ExpectedProb
pat-a,pata,1.0,0.6932122029768469
pat-a,pala,0.0,0.21248123660433757
pat-a,paa,0.0,0.0943065604188155
pat-ta,patta,1.0,0.9591247551486191
pat-ta,palta,0.0,0.028310195701398828
pat-ta,pata,0.0,0.012565049149982016
pat-e,pate,1.0,0.6932122029768469
pat-e,pale,0.0,0.21248123660433757
pat-e,pae,0.0,0.0943065604188155
pat-te,patte,1.0,0.9591247551486191
pat-te,palte,0.0,0.028310195701398828
pat-te,pate,0.0,0.012565049149982016
pat-tu,pattu,1.0,0.9591247551486191
pat-tu,paltu,0.0,0.028310195701398828
pat-tu,patu,0.0,0.012565049149982016
pat-u,patu,1.0,0.6932122029768469
pat-u,palu,0.0,0.21248123660433757
pat-u,pau,0.0,0.0943065604188155
pat-o,pato,1.0,0.6932122029768469
pat-o,palo,0.0,0.21248123660433757
pat-o,pao,0.0,0.0943065604188155
pat-to,patto,1.0,0.9591247551486191
pat-to,palto,0.0,0.028310195701398828
pat-to,pato,0.0,0.012565049149982016
met-a,meta,1.0,0.6932122029768469
met-a,mela,0.0,0.21248123660433757
met-a,mea,0.0,0.0943065604188155
met-ta,metta,1.0,0.9591247551486191
met-ta,melta,0.0,0.028310195701398828
met-ta,meta,0.0,0.012565049149982016
met-e,mete,1.0,0.6932122029768469
met-e,mele,0.0,0.21248123660433757
met-e,mee,0.0,0.0943065604188155
met-te,mette,1.0,0.9591247551486191
met-te,melte,0.0,0.028310195701398828
met-te,mete,0.0,0.012565049149982016
met-tu,mettu,1.0,0.9591247551486191
met-tu,meltu,0.0,0.028310195701398828
met-tu,metu,0.0,0.012565049149982016
met-u,metu,1.0,0.6932122029768469
met-u,melu,0.0,0.21248123660433757
met-u,meu,0.0,0.0943065604188155
met-o,meto,1.0,0.6932122029768469
met-o,melo,0.0,0.21248123660433757
met-o,meo,0.0,0.0943065604188155
met-to,metto,1.0,0.9591247551486191
met-to,melto,0.0,0.028310195701398828
met-to,meto,0.0,0.012565049149982016
pot-a,pota,1.0,0.6932122029768469
pot-a,pola,0.0,0.21248123660433757
pot-a,poa,0.0,0.0943065604188155
pot-ta,potta,1.0,0.9591247551486191
pot-ta,polta,0.0,0.028310195701398828
pot-ta,pota,0.0,0.012565049149982016
pot-e,pote,1.0,0.6932122029768469
pot-e,pole,0.0,0.21248123660433757
pot-e,poe,0.0,0.0943065604188155
pot-te,potte,1.0,0.9591247551486191
pot-te,polte,0.0,0.028310195701398828
pot-te,pote,0.0,0.012565049149982016
pot-tu,pottu,1.0,0.9591247551486191
pot-tu,poltu,0.0,0.028310195701398828
pot-tu,potu,0.0,0.012565049149982016
pot-u,potu,1.0,0.6932122029768469
pot-u,polu,0.0,0.21248123660433757
pot-u,pou,0.0,0.0943065604188155
pot-o,poto,1.0,0.6932122029768469
pot-o,polo,0.0,0.21248123660433757
pot-o,poo,0.0,0.0943065604188155
pot-to,potto,1.0,0.9591247551486191
pot-to,polto,0.0,0.028310195701398828
pot-to,poto,0.0,0.012565049149982016
sut-a,suta,1.0,0.6932122029768469
sut-a,sula,0.0,0.21248123660433757
sut-a,sua,0.0,0.0943065604188155
sut-ta,sutta,1.0,0.9591247551486191
sut-ta,sulta,0.0,0.028310195701398828
sut-ta,suta,0.0,0.012565049149982016
sut-e,sute,1.0,0.6932122029768469
sut-e,sule,0.0,0.21248123660433757
sut-e,sue,0.0,0.0943065604188155
sut-te,sutte,1.0,0.9591247551486191
sut-te,sulte,0.0,0.028310195701398828
sut-te,sute,0.0,0.012565049149982016
sut-tu,suttu,1.0,0.9591247551486191
sut-tu,sultu,0.0,0.028310195701398828
sut-tu,sutu,0.0,0.012565049149982016
sut-u,sutu,1.0,0.6932122029768469
sut-u,sulu,0.0,0.21248123660433757
sut-u,suu,0.0,0.0943065604188155
sut-o,suto,1.0,0.6932122029768469
sut-o,sulo,0.0,0.21248123660433757
sut-o,suo,0.0,0.0943065604188155
sut-to,sutto,1.0,0.9591247551486191
sut-to,sulto,0.0,0.028310195701398828
sut-to,suto,0.0,0.012565049149982016
kat-a,kata,1.0,0.6932122029768469
kat-a,kala,0.0,0.21248123660433757
kat-a,kaa,0.0,0.0943065604188155
kat-ta,katta,1.0,0.9591247551486191
kat-ta,kalta,0.0,0.028310195701398828
kat-ta,kata,0.0,0.012565049149982016
kat-e,kate,1.0,0.6932122029768469
kat-e,kale,0.0,0.21248123660433757
kat-e,kae,0.0,0.0943065604188155
kat-te,katte,1.0,0.9591247551486191
kat-te,kalte,0.0,0.028310195701398828
kat-te,kate,0.0,0.012565049149982016
kat-tu,kattu,1.0,0.9591247551486191
kat-tu,kaltu,0.0,0.028310195701398828
kat-tu,katu,0.0,0.012565049149982016
kat-u,katu,1.0,0.6932122029768469
kat-u,kalu,0.0,0.21248123660433757
kat-u,kau,0.0,0.0943065604188155
kat-o,kato,1.0,0.6932122029768469
kat-o,kalo,0.0,0.21248123660433757
kat-o,kao,0.0,0.0943065604188155
kat-to,katto,1.0,0.9591247551486191
kat-to,kalto,0.0,0.028310195701398828
kat-to,kato,0.0,0.012565049149982016
hot-a,hota,0.0,0.2507778824609545
hot-a,hola,1.0,0.5189112590876694
hot-a,hoa,0.0,0.23031085845137597
hot-ta,hotta,1.0,0.9591247551486191
hot-ta,holta,0.0,0.028310195701398828
hot-ta,hota,0.0,0.012565049149982016
hot-e,hote,0.0,0.2507778824609545
hot-e,hole,1.0,0.5189112590876694
hot-e,hoe,0.0,0.23031085845137597
hot-te,hotte,1.0,0.9591247551486191
