Input,Output,ObservedProb,ExpectedProb
pat-a,pata,1.0,0.5654633045828574
pat-a,pala,0.0,0.25078641259983114
pat-a,paa,0.0,0.18375028281731143
pat-ta,patta,1.0,0.8559893821996983
pat-ta,palta,0.0,0.08311359338652131
pat-ta,pata,0.0,0.06089702441378038
met-a,meta,1.0,0.5654633045828574
met-a,mela,0.0,0.25078641259983114
met-a,mea,0.0,0.18375028281731143
met-ta,metta,1.0,0.8559893821996983
met-ta,melta,0.0,0.08311359338652131
met-ta,meta,0.0,0.06089702441378038
pot-a,pota,1.0,0.5654633045828574
pot-a,pola,0.0,0.25078641259983114
pot-a,poa,0.0,0.18375028281731143
pot-ta,potta,1.0,0.8559893821996983
pot-ta,polta,0.0,0.08311359338652131
pot-ta,pota,0.0,0.06089702441378038
sut-a,suta,1.0,0.5654633045828574
sut-a,sula,0.0,0.25078641259983114
sut-a,sua,0.0,0.18375028281731143
sut-ta,sutta,1.0,0.8559893821996983
sut-ta,sulta,0.0,0.08311359338652131
sut-ta,suta,0.0,0.06089702441378038
kat-a,kata,1.0,0.5654633045828574
kat-a,kala,0.0,0.25078641259983114
kat-a,kaa,0.0,0.18375028281731143
kat-ta,katta,1.0,0.8559893821996983
kat-ta,kalta,0.0,0.08311359338652131
kat-ta,kata,0.0,0.06089702441378038
hot-a,hota,0.0,0.4078449766046833
hot-a,hola,1.0,0.34175349420771156
hot-a,hoa,0.0,0.2504015291876051
hot-ta,hotta,1.0,0.8559893821996983
hot-ta,holta,0.0,0.08311359338652131
hot-ta,hota,0.0,0.06089702441378038
mut-a,muta,0.0,0.4078449766046833
mut-a,mula,1.0,0.34175349420771156
mut-a,mua,0.0,0.2504015291876051
mut-ta,mutta,1.0,0.8559893821996983
mut-ta,multa,0.0,0.08311359338652131
mut-ta,muta,0.0,0.06089702441378038
mot-a,mota,0.0,0.4078449766046833
mot-a,mola,1.0,0.34175349420771156
mot-a,moa,0.0,0.2504015291876051
mot-ta,motta,1.0,0.8559893821996983
mot-ta,molta,0.0,0.08311359338652131
mot-ta,mota,0.0,0.06089702441378038
nit-a,nita,0.0,0.4078449766046833
nit-a,nila,1.0,0.34175349420771156
nit-a,nia,0.0,0.2504015291876051
nit-ta,nitta,1.0,0.8559893821996983
nit-ta,nilta,0.0,0.08311359338652131
nit-ta,nita,0.0,0.06089702441378038
tot-a,tota,0.0,0.4078449766046833
tot-a,tola,1.0,0.34175349420771156
tot-a,toa,0.0,0.2504015291876051
tot-ta,totta,1.0,0.8559893821996983
tot-ta,tolta,0.0,0.08311359338652131
tot-ta,tota,0.0,0.06089702441378038
not-a,nota,0.0,0.4078449766046833
not-a,nola,1.0,0.34175349420771156
not-a,noa,0.0,0.2504015291876051
not-ta,notta,1.0,0.8559893821996983
not-ta,nolta,0.0,0.08311359338652131
not-ta,nota,0.0,0.06089702441378038
mat-a,mata,0.0,0.4078449766046833
mat-a,mala,1.0,0.34175349420771156
mat-a,maa,0.0,0.2504015291876051
mat-ta,matta,1.0,0.8559893821996983
mat-ta,malta,0.0,0.08311359338652131
mat-ta,mata,0.0,0.06089702441378038
tus-a,tusa,1.0,0.5654633045828574
tus-a,tula,0.0,0.25078641259983114
tus-a,tua,0.0,0.18375028281731143
tus-ta,tutta,1.0,0.8559893821996983
tus-ta,tulta,0.0,0.08311359338652131
tus-ta,tuta,0.0,0.06089702441378038
sis-a,sisa,1.0,0.5654633045828574
sis-a,sila,0.0,0.25078641259983114
sis-a,sia,0.0,0.18375028281731143
sis-ta,sitta,1.0,0.8559893821996983
sis-ta,silta,0.0,0.08311359338652131
sis-ta,sita,0.0,0.06089702441378038
hus-a,husa,1.0,0.5654633045828574
hus-a,hula,0.0,0.25078641259983114
hus-a,hua,0.0,0.18375028281731143
hus-ta,hutta,1.0,0.8559893821996983
hus-ta,hulta,0.0,0.08311359338652131
hus-ta,huta,0.0,0.06089702441378038
kis-a,kisa,1.0,0.5654633045828574
kis-a,kila,0.0,0.25078641259983114
kis-a,kia,0.0,0.18375028281731143
kis-ta,kitta,1.0,0.8559893821996983
kis-ta,kilta,0.0,0.08311359338652131
kis-ta,kita,0.0,0.06089702441378038
mis-a,misa,0.0,0.41012546965810753
mis-a,mila,0.0,0.3274161143085251
mis-a,mia,1.0,0.2624584160333675
mis-ta,mitta,1.0,0.8621492069675054
mis-ta,milta,0.0,0.07651554472590634
mis-ta,mita,0.0,0.06133524830658825
pes-a,pesa,0.0,0.41012546965810753
pes-a,pela,0.0,0.3274161143085251
pes-a,pea,1.0,0.2624584160333675
pes-ta,petta,1.0,0.8621492069675054
pes-ta,pelta,0.0,0.07651554472590634
pes-ta,peta,0.0,0.06133524830658825
ses-a,sesa,0.0,0.41012546965810753
ses-a,sela,0.0,0.3274161143085251
ses-a,sea,1.0,0.2624584160333675
ses-ta,setta,1.0,0.8621492069675054
ses-ta,selta,0.0,0.07651554472590634
ses-ta,seta,0.0,0.06133524830658825
nes-a,nesa,0.0,0.41012546965810753
nes-a,nela,0.0,0.3274161143085251
nes-a,nea,1.0,0.2624584160333675
nes-ta,netta,1.0,0.8621492069675054
nes-ta,nelta,0.0,0.07651554472590634
nes-ta,neta,0.0,0.06133524830658825
nus-a,nusa,0.0,0.41012546965810753
nus-a,nula,0.0,0.3274161143085251
nus-a,nua,1.0,0.2624584160333675
nus-ta,nutta,1.0,0.8621492069675054
nus-ta,nulta,0.0,0.07651554472590634
nus-ta,nuta,0.0,0.06133524830658825
